No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa)
0,2.83355003851339,295.161450687623,361.817291671096
1,2.62899589934661,265.184190836914,314.00217220402
2,2.80560992589109,273.788153516019,327.389446800154
3,2.76166117399664,277.253186880481,332.855773693008
4,3.07081518827994,290.837980599522,354.714187443957
5,2.85882613559813,281.003409055902,338.821376952135
6,3.04182818536337,280.499617652593,338.016971866413
7,2.98847416706945,298.584344593943,367.492252695017
8,2.77999209571226,240.635243737676,277.204709796858
9,3.656836342167,267.337183434152,317.327500359756
10,2.81328865815734,296.167971879191,363.48129883973
11,3.5578597944374,287.147945559135,348.708355480753
12,2.73498609194011,267.802845628381,318.048867901388
13,3.13114136149601,299.375377855999,368.810270983192
14,2.72920347358457,266.780651178464,316.466366782632
15,3.48032329641597,276.729814823687,332.027323203785
16,2.86871086532962,288.56226439753,351.00416209645
17,3.06112168536564,300.630491643738,370.906603518985
18,2.9638527930947,265.312971449897,314.200618350567
19,2.84795212169694,286.664376548726,347.925131848978
20,3.40860098645226,300.984732309665,371.499395345196
21,3.56317215248134,285.937018795465,346.748709619139
22,3.79298980809494,312.503208997995,391.049285225373
23,4.22369342335252,306.186897439837,380.262402618437
24,3.03609265928963,285.29981840193,345.719741790482
25,2.59208725833225,257.84773906082,302.792037771153
26,2.77633148208529,270.191439694492,321.761155813553
27,2.65107357023176,274.628079697024,328.710494133411
28,2.47125793505425,278.983655605046,335.602072469366
29,2.89975869332266,272.934928727583,326.050086883006
30,2.93180212708536,278.071862296747,334.153667293633
31,2.795201586666,272.888085790214,325.976630452307
32,2.78911524134355,290.498285517606,354.159139898697
33,2.92209184612772,283.770205311154,343.255892771499
34,2.90504527528928,286.716045287752,348.008776224365
35,3.01483675573444,294.780687539529,361.188830452924
