Tue Nov 22 17:04:31 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.029637	0.000000	0.000022	0.459222

-0.047804	-0.085231	0.009997	0.000031	0.458981
0.112839	-0.217777	0.019994	0.000000	0.458745
-0.146707	-0.190103	0.029990	0.000049	0.458514
-0.116281	-0.292673	0.039987	0.000043	0.458215
0.013151	-0.402349	0.049984	0.000019	0.458015
-0.067945	-0.442022	0.059981	0.000034	0.457784
0.027748	-0.554102	0.069978	0.000016	0.457534
-0.092540	-0.581181	0.079974	0.000038	0.457296
-0.227372	-0.620680	0.089971	0.000063	0.456998
-0.128280	-0.733973	0.099968	0.000045	0.456748
-0.117374	-0.812255	0.109965	0.000043	0.456503
-0.245326	-0.836220	0.119962	0.000067	0.456265
-0.094516	-0.963835	0.129958	0.000038	0.456032
-0.275063	-0.981235	0.139955	0.000072	0.455749
-0.180781	-1.094592	0.149952	0.000054	0.455492
-0.150895	-1.181219	0.159949	0.000048	0.455243
-0.131817	-1.262292	0.169946	0.000045	0.454999
-0.120110	-1.337877	0.179942	0.000042	0.454763
-0.304960	-1.349372	0.189939	0.000077	0.454494
-0.335517	-1.422402	0.199936	0.000083	0.454214
-0.248534	-1.529787	0.209933	0.000066	0.453967
-0.206278	-1.618363	0.219930	0.000058	0.453726
-0.381452	-1.622975	0.229926	0.000091	0.453491
-0.266922	-1.738534	0.239923	0.000069	0.453251
-0.472841	-1.739350	0.249920	0.000108	0.452990
-0.341398	-1.865411	0.259917	0.000083	0.452736
-0.527465	-1.869025	0.269914	0.000118	0.452490
-0.718182	-1.870143	0.279910	0.000153	0.452247
-0.962070	-1.853120	0.289907	0.000199	0.451998
-1.272661	-1.821494	0.299904	0.000257	0.451713
-1.801966	-1.703435	0.309901	0.000356	0.451441
-1.840430	-1.760940	0.319898	0.000363	0.451200
-2.125276	-1.726157	0.329894	0.000417	0.450958
-2.209380	-1.765450	0.339891	0.000432	0.450721
-2.564138	-1.705758	0.349888	0.000499	0.450473
-2.741718	-1.732795	0.359885	0.000532	0.450159
-2.931856	-1.733922	0.369882	0.000568	0.449915
-3.114670	-1.737109	0.379878	0.000602	0.449674
-3.414952	-1.695882	0.389875	0.000658	0.449432
-3.424152	-1.763915	0.399872	0.000660	0.449193
-3.659079	-1.766300	0.409869	0.000704	0.448887
-3.751969	-1.807368	0.419866	0.000721	0.448632
-3.890787	-1.825851	0.429862	0.000747	0.448394
-3.951544	-1.868350	0.439859	0.000758	0.448175
-4.105932	-1.873276	0.449856	0.000787	0.447963
-4.290823	-1.883166	0.459853	0.000821	0.447695
-4.614257	-1.850552	0.469850	0.000882	0.447394
-4.765224	-1.870083	0.479846	0.000910	0.447137
-4.911032	-1.886985	0.489843	0.000937	0.446894
-5.024648	-1.917757	0.499840	0.000959	0.446646
-5.219552	-1.918104	0.509837	0.000995	0.446397
-5.453751	-1.911075	0.519834	0.001039	0.446123
-5.617974	-1.932765	0.529830	0.001070	0.445840
-5.667072	-1.984622	0.539827	0.001079	0.445603
-6.017555	-1.926431	0.549824	0.001144	0.445352
-6.093420	-1.973051	0.559821	0.001158	0.445098
-6.260452	-1.984537	0.569818	0.001190	0.444846
-6.372244	-2.027798	0.579814	0.001211	0.444557
-6.408730	-2.091826	0.589811	0.001217	0.444293
-6.578932	-2.101200	0.599808	0.001249	0.444043
-6.635450	-2.154391	0.609805	0.001260	0.443791
-6.813418	-2.159008	0.619802	0.001293	0.443547
-6.909251	-2.193617	0.629798	0.001311	0.443307
-7.120764	-2.188983	0.639795	0.001350	0.443052
-7.521271	-2.120879	0.649792	0.001425	0.442769
-7.734175	-2.115433	0.659789	0.001465	0.442515
-7.756551	-2.179941	0.669786	0.001469	0.442267
-8.070033	-2.136651	0.679782	0.001528	0.442011
-8.069156	-2.208739	0.689779	0.001528	0.441767
