Number of Data Points = 81
         
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
231122mapping_00004 LC.hys	374.436324	10999.497237	77.431835	3849524.398241	811.774238	480.976779	34.966393	2.857365	0.001216	98.359626	2.693464	-114.701700	-21.776200	0.000000
231122mapping_00004 LC.hys	413.677408	10999.545831	516.605069	4648531.570943	811.774238	429.646394	212.292963	2.366241	0.000095	341.415140	4.143872	-114.696700	-21.776200	0.000000
231122mapping_00004 LC.hys	375.685204	10999.531288	332.583636	3873778.495334	811.774238	400.489938	149.716034	2.839484	0.035290	308.062503	2.794651	-114.691700	-21.776200	0.000000
231122mapping_00004 LC.hys	348.229381	10999.524089	229.983383	3358388.029563	811.774238	384.099986	111.190030	3.275239	0.000429	223.468536	3.358560	-114.686700	-21.776200	0.000000
231122mapping_00004 LC.hys	323.422055	10999.503272	257.595009	2924824.376188	811.774238	355.447627	133.451167	3.760740	0.003512	224.442267	3.067986	-114.681700	-21.776200	0.000000
231122mapping_00004 LC.hys	405.451521	10999.520270	370.861805	4474722.688453	811.774238	427.696034	155.333051	2.458146	0.000001	285.839285	4.782868	-114.676700	-21.776200	0.000000
231122mapping_00004 LC.hys	396.532623	10999.598301	260.885749	4290057.117351	811.774238	428.154507	111.597290	2.563975	0.000001	239.005337	4.486193	-114.671700	-21.776200	0.000000
231122mapping_00004 LC.hys	399.665354	10999.533543	191.585398	4354471.392938	811.774238	442.725265	81.344747	2.526032	0.002907	273.294522	2.951076	-114.666700	-21.776200	0.000000
231122mapping_00004 LC.hys	357.672627	10999.625527	120.496919	3531440.414374	811.774238	426.136777	56.811313	3.114770	6.239973	287.737777	1.516111	-114.661700	-21.776200	0.000000
231122mapping_00004 LC.hys	325.660574	10999.560707	75.651026	2962696.305054	811.774238	434.709598	38.940909	3.712686	0.000143	0.081018	2.989219	-114.701700	-21.781200	0.000000
231122mapping_00004 LC.hys	385.539828	10999.579073	702.307609	4067871.699096	811.774238	397.286368	308.516630	2.704013	92.579932	373.633355	1.510212	-114.696700	-21.781200	0.000000
