Tue Nov 22 16:09:05 2022

Number of Points = 4300
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.095006	0.000000	0.000044	0.452022

-0.109704	0.067432	0.009997	0.000065	0.451791
-0.146537	0.008008	0.019994	0.000072	0.451545
-0.059677	-0.097935	0.029990	0.000056	0.451299
-0.181696	-0.123972	0.039987	0.000079	0.451057
0.018225	-0.285628	0.049984	0.000042	0.450767
-0.062707	-0.331107	0.059981	0.000057	0.450511
-0.035864	-0.416156	0.069978	0.000052	0.450259
-0.069099	-0.476478	0.079974	0.000058	0.450013
-0.134745	-0.523849	0.089971	0.000071	0.449770
-0.150025	-0.594130	0.099968	0.000074	0.449514
0.025706	-0.747856	0.109965	0.000041	0.449219
-0.163126	-0.749867	0.119962	0.000077	0.448972
0.014893	-0.889080	0.129958	0.000043	0.448728
-0.213777	-0.876134	0.139955	0.000086	0.448481
-0.144953	-0.971010	0.149952	0.000074	0.448247
-0.130334	-1.043192	0.159949	0.000071	0.448022
-0.161922	-1.116427	0.169946	0.000077	0.447734
-0.205477	-1.173614	0.179942	0.000085	0.447484
0.106611	-1.364651	0.189939	0.000027	0.447236
-0.098943	-1.360224	0.199936	0.000066	0.446988
-0.115256	-1.424744	0.209933	0.000069	0.446748
-0.146173	-1.507399	0.219930	0.000075	0.446428
-0.105361	-1.596424	0.229926	0.000067	0.446178
-0.174421	-1.641888	0.239923	0.000080	0.445935
-0.290503	-1.670486	0.249920	0.000102	0.445688
-0.294217	-1.738424	0.259917	0.000103	0.445452
-0.216807	-1.847240	0.269914	0.000089	0.445181
-0.270402	-1.914657	0.279910	0.000099	0.444883
-0.333259	-1.965265	0.289907	0.000111	0.444630
-0.310616	-2.045277	0.299904	0.000107	0.444386
-0.455650	-2.064733	0.309901	0.000134	0.444133
-0.428150	-2.149643	0.319898	0.000129	0.443878
-0.518692	-2.192666	0.329894	0.000146	0.443614
-0.444507	-2.305234	0.339891	0.000133	0.443325
-0.528745	-2.337430	0.349888	0.000149	0.443106
-0.522253	-2.410370	0.359885	0.000147	0.442865
-0.636558	-2.443176	0.369882	0.000169	0.442605
-0.584181	-2.536503	0.379878	0.000159	0.442353
-0.815979	-2.530443	0.389875	0.000203	0.442074
-0.924817	-2.572462	0.399872	0.000224	0.441789
-0.953551	-2.637693	0.409869	0.000229	0.441528
-1.098381	-2.654871	0.419866	0.000256	0.441281
-1.194127	-2.691596	0.429862	0.000275	0.441031
-1.514215	-2.643273	0.439859	0.000335	0.440782
-1.860825	-2.588319	0.449856	0.000400	0.440521
-1.824366	-2.692221	0.459853	0.000393	0.440211
-1.954889	-2.715909	0.469850	0.000418	0.439959
-2.201939	-2.696266	0.479846	0.000464	0.439706
-2.454789	-2.674767	0.489843	0.000512	0.439451
-2.725600	-2.644380	0.499840	0.000563	0.439203
-3.027807	-2.607953	0.509837	0.000620	0.438935
-3.071286	-2.677070	0.519834	0.000628	0.438640
-3.482750	-2.596579	0.529830	0.000705	0.438381
-3.530441	-2.640512	0.539827	0.000714	0.438167
-3.708419	-2.640494	0.549824	0.000748	0.437935
-3.755147	-2.699349	0.559821	0.000757	0.437670
-3.904150	-2.716247	0.569818	0.000785	0.437416
-3.982273	-2.775002	0.579814	0.000800	0.437110
-4.295556	-2.732492	0.589811	0.000859	0.436848
-4.238559	-2.829758	0.599808	0.000848	0.436585
-4.645249	-2.749692	0.609805	0.000924	0.436330
-4.588485	-2.843092	0.619802	0.000914	0.436080
-4.933460	-2.785231	0.629798	0.000979	0.435828
-5.056063	-2.817092	0.639795	0.001002	0.435556
-5.388814	-2.778070	0.649792	0.001064	0.435255
-5.554940	-2.788929	0.659789	0.001096	0.434999
-5.795275	-2.772364	0.669786	0.001141	0.434740
-5.703331	-2.880031	0.679782	0.001124	0.434486
-6.157812	-2.781559	0.689779	0.001209	0.434231
-6.376280	-2.774883	0.699776	0.001250	0.433966
-6.648584	-2.757626	0.709773	0.001302	0.433667
-6.539324	-2.872597	0.719770	0.001281	0.433410
-6.711769	-2.871794	0.729766	0.001314	0.433184
-6.779735	-2.918941	0.739763	0.001327	0.432930
-6.943869	-2.932132	0.749760	0.001358	0.432666
-6.888805	-3.025734	0.759757	0.001347	0.432411
-7.159666	-3.001972	0.769754	0.001398	0.432136
-7.272124	-3.045051	0.779750	0.001420	0.431836
-7.498388	-3.037217	0.789747	0.001462	0.431563
-7.835846	-2.981557	0.799744	0.001526	0.431311
-8.030350	-2.980851	0.809741	0.001562	0.431056
-8.041334	-3.050072	0.819738	0.001564	0.430798
-8.403632	-2.984240	0.829734	0.001633	0.430548
-8.445879	-3.052101	0.839731	0.001641	0.430253
-8.723786	-3.030371	0.849728	0.001693	0.429960
-8.819652	-3.066541	0.859725	0.001711	0.429705
-9.021832	-3.063351	0.869722	0.001749	0.429446
-9.309795	-3.030355	0.879718	0.001803	0.429179
-9.570683	-3.006507	0.889715	0.001852	0.428915
-9.575624	-3.077129	0.899712	0.001853	0.428659
-9.713898	-3.101593	0.909709	0.001879	0.428388
-9.793053	-3.142494	0.919706	0.001894	0.428137
-9.814235	-3.210097	0.929702	0.001899	0.427869
-10.162769	-3.153109	0.939699	0.001964	0.427605
-10.151627	-3.233388	0.949696	0.001962	0.427335
-10.517276	-3.170377	0.959693	0.002031	0.427069
-10.444739	-3.271664	0.969690	0.002017	0.426806
-10.777612	-3.222955	0.979686	0.002080	0.426533
-10.952751	-3.242808	0.989683	0.002113	0.426228
-11.306115	-3.183947	0.999680	0.002179	0.425962
-11.267288	-3.269964	1.009677	0.002172	0.425708
-11.577097	-3.230140	1.019674	0.002231	0.425434
-11.545274	-3.318646	1.029670	0.002225	0.425161
-11.826120	-3.285971	1.039667	0.002278	0.424899
-11.894212	-3.333898	1.049664	0.002290	0.424636
-12.147908	-3.318134	1.059661	0.002338	0.424351
-12.251269	-3.361513	1.069658	0.002358	0.424056
-12.482933	-3.347301	1.079654	0.002401	0.423794
-12.475200	-3.423277	1.089651	0.002400	0.423533
-12.807133	-3.368103	1.099648	0.002462	0.423281
-12.999006	-3.365052	1.109645	0.002499	0.423033
-13.121067	-3.397027	1.119642	0.002522	0.422753
-13.323433	-3.394921	1.129638	0.002560	0.422486
-13.679319	-3.348799	1.139635	0.002627	0.422170
-13.743292	-3.399514	1.149632	0.002639	0.421901
-13.919396	-3.409279	1.159629	0.002672	0.421627
-14.140575	-3.399740	1.169626	0.002714	0.421361
-14.314211	-3.408149	1.179622	0.002746	0.421094
-14.325807	-3.476837	1.189619	0.002749	0.420831
-14.684114	-3.413958	1.199616	0.002816	0.420570
-14.789442	-3.453872	1.209613	0.002836	0.420283
-15.053888	-3.437426	1.219610	0.002886	0.419982
-15.031995	-3.523224	1.229606	0.002882	0.419702
-15.247281	-3.514523	1.239603	0.002922	0.419440
-15.341865	-3.555718	1.249600	0.002940	0.419161
-15.558656	-3.547794	1.259597	0.002981	0.418894
-15.554289	-3.622782	1.269594	0.002980	0.418628
-15.993986	-3.527108	1.279590	0.003063	0.418374
-15.930857	-3.611427	1.289587	0.003051	0.418154
-16.347449	-3.541156	1.299584	0.003129	0.417839
-16.359134	-3.614572	1.309581	0.003132	0.417556
-16.653744	-3.579620	1.319578	0.003187	0.417279
-16.748559	-3.618667	1.329574	0.003205	0.417007
-16.931659	-3.624913	1.339571	0.003240	0.416733
-17.032370	-3.662065	1.349568	0.003259	0.416459
-17.261479	-3.649931	1.359565	0.003302	0.416188
-17.234240	-3.735029	1.369562	0.003297	0.415915
-17.605465	-3.665246	1.379558	0.003366	0.415659
-17.569185	-3.768068	1.389555	0.003360	0.415333
