No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm
0,7.50769236034548,43.2613302340903,40.9127830620491,59.0867267494812
1,4.35200699129945,53.2568820870327,50.8265706308197,95.5376138441517
2,2.35172689566259,147.948064788254,154.598002220399,361.043881964896
3,3.19590281779244,108.101077105319,108.621608714764,226.295102239518
4,3.02916998374524,166.955527472186,177.848160789563,358.98910680478
5,2.64462484733697,196.599028568497,215.967324046594,452.421604373246
6,3.1719626697922,120.154134366208,122.151773802541,252.474084585515
7,3.27981716433936,59.4110762617177,57.0211756591102,122.7681325615
8,3.90647982648932,45.8544098282945,43.4673398621932,86.8221823509889
9,3.30537529604115,44.4066635566824,42.0396179218242,91.4074975624687
10,3.47448726361209,276.26662065023,331.294960900392,554.660231124023
11,2.70291817298001,299.271293848108,368.636705621377,681.227175327201
12,3.15151851360619,292.02233859562,356.652834043253,615.601348084183
13,3.07662322693683,297.250638926185,365.275600141313,634.204237609136
14,3.77093422572075,339.831988039705,439.669633734191,654.910724124396
15,3.56494463350392,220.976675522706,249.146485007666,437.989453041113
16,3.12345981450138,99.8678468174231,99.5586807765187,211.47096745477
17,4.1193775273671,68.0851938575574,65.8724028441037,125.539200186612
18,3.02425972431337,43.4051849452284,41.0541857557081,93.4062583125883
19,2.51510067473416,272.092520009574,324.730272560777,642.069592829104
20,3.11056679106308,248.917308684691,289.393842316248,528.177226694082
21,3.0743325726528,253.212669024793,295.804638183456,540.447358412968
22,2.76816111731588,281.030650321325,338.864899869406,632.120972422663
23,2.92118045167485,279.214149824175,335.968700710356,611.366202608231
24,3.38116197197457,189.089898923449,206.087738771334,384.837593394202
25,3.07354036384448,96.9562739533176,96.3877579041712,206.966508921806
26,3.76911631452274,86.6686715635397,85.3234329955105,167.06496510664
27,2.8382572935275,46.5869932136742,44.1912238581069,103.486142734054
28,2.62226686528292,295.613599122359,362.564307769124,683.169334219183
29,2.66903210131732,293.078493863133,358.386172112151,671.352100654112
30,2.9099069225452,283.295508628805,342.49304465486,621.502665532973
31,2.65508947265556,286.28782188633,347.315846920628,657.516062641807
32,2.82378547438887,317.387140751081,399.502768061482,706.832147427601
33,2.87346649891224,262.755660684671,310.2707373217,580.086804179977
34,3.24456715714547,118.999752011966,120.842164398219,247.235496073932
35,3.25724853428513,85.7153153641832,84.3089720077851,177.736671834631
36,2.47558315697135,44.7638109608243,42.3914765560108,106.471013024572
37,2.72768874451629,276.413712561882,331.527445247471,626.332085291216
38,2.51338598715823,277.174602636525,332.731318253808,654.285565016826
39,2.62653547503336,304.049574629725,376.648986997565,702.092728276257
40,2.76905264256394,313.945462838749,393.5353178874,706.046158215522
41,2.80142967290137,295.028104577728,361.597135819523,659.654718077015
42,2.69794239446091,262.672478555754,310.143291619237,598.468642178296
43,2.9709500282208,123.543318858985,126.013786293147,268.234383962763
44,2.99103960978484,87.5974056263236,86.3134517090871,189.550322285276
45,3.71494814847309,51.869097844484,49.4393060370859,100.710722874364
46,2.81123213308478,256.907586368534,301.368858632275,573.417906182249
47,2.75412834020421,262.48536100489,309.856691251415,591.911179532867
48,3.06504984448879,303.802791869035,376.232951011244,649.406867004412
49,2.93898983156854,342.049570880652,443.759977001105,746.676465074707
50,2.85199774530121,295.837562799528,362.934623295561,655.574073997411
51,2.8755709838131,305.598436968443,379.265701078765,674.422798826619
52,2.57238220720495,127.569571821004,130.63516393176,297.661993006254
53,2.76567143637806,84.3800964599962,82.8912370431208,189.881777488088
54,3.55421698107713,47.6761663971275,45.2692489208846,94.6392828528887
55,1.90605574461942,236.269596823505,270.868931959017,640.445621341081
56,3.14868853545707,284.028225420685,343.670889446082,599.016583989616
57,3.00816444768093,259.097452000106,304.688494377544,559.05689423547
58,3.43185898153969,275.884524182169,330.691410390885,557.321905283091
59,2.97227172257965,320.511707905709,404.963500785615,695.733905923776
60,3.3501981226209,294.231017773281,360.282575181137,601.585198164457
61,3.79893181104702,136.433272112794,140.938964610205,261.958459209777
62,4.53781215825658,105.58981222743,105.842064265051,185.499396595511
63,4.20613196859524,51.4872923344094,49.0582607757239,93.9509818635082
64,2.84336140967298,294.736497302493,361.115929542617,654.123842290064
65,2.57114805967983,278.142216011012,334.265317423296,649.152698781442
66,2.71923604015293,286.517325403412,347.687131923203,650.237429746767
67,2.9512854983986,285.583536416203,346.177708738801,622.114008908252
68,2.95643963560323,320.679250403736,405.257479412467,697.957518927988
69,2.58420003569697,281.802184729507,340.098707438883,656.031189165085
70,2.79132323286453,165.030140991259,175.451977153498,369.659125645259
71,2.87601861997693,99.5403755819044,99.2011588488158,219.657957627334
72,3.89020244584021,41.986953580881,39.6617380245329,79.6658844481807
73,2.46875832089109,277.883739906375,333.85520923869,661.860649209202
74,2.27793090275313,276.245022910276,331.260831476625,684.964545349439
75,2.83370489481791,288.615756870529,351.091142986785,641.630284623951
76,2.76427180089182,278.054002362995,334.125326769139,625.868010180579
77,2.50444473079208,307.98490266083,383.316440080836,728.310349152165
78,2.6622620322959,299.900222876073,369.686127533422,687.850677780683
79,3.65404369625913,178.654778286759,192.61327515941,349.759903335975
80,2.96253766315948,98.2978957179896,97.8466951253303,213.724710189135
81,5.66608721543014,41.966118945142,39.6413088379871,65.9779612088582
82,9.16111775930274,11.0767857813612,10.1782873517942,13.695567760748
83,3.202930400036,135.695649811683,140.074600164973,283.748936843832
84,4.28430919353908,117.2344254426,118.845144518876,211.961590491639
85,3.10647558900744,120.386362737958,122.415585692554,255.61483279988
86,2.90867873748081,205.984287836548,228.537303455093,451.990827444039
87,2.66981023529723,149.793413088606,156.816352782078,343.08107471352
88,3.60484471552378,65.7592218598007,63.4849858626696,129.615225914458
89,3.46561626448569,57.3609743002727,54.9498296714288,115.310845720504
90,5.56499889035484,53.6846645314224,51.2549039082684,85.1648474119509
91,2.77385172864387,301.12044395299,371.72662907312,676.61648783322
92,2.89158565620459,301.027229492303,371.57054419587,662.491779513056
93,3.24299867435638,331.679093684537,424.823179465471,689.266213641398
94,2.92046701135385,326.877502305502,416.217809598231,715.816128725557
95,2.74956907415174,354.368899364727,466.900516407775,799.7711779952
96,3.92049122485338,202.354642258558,223.646339588829,382.460386811677
97,3.70799687939623,118.378490788487,120.138581950004,230.062058966861
98,3.43527782695648,81.6182801430021,79.9700333548068,164.797006991425
99,2.81907705371321,42.9224895961689,40.579863792531,95.6696106378843
100,3.5551229980197,285.503034981886,346.047735649869,566.665329998239
101,2.39482517686017,305.067743999993,378.368039709127,737.738725065523
