Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-2.348453	1.358729	0.000000	0.026326	0.981319
0.000000	4.253902	0.005005	0.025885	0.986935
2.105618	8.799980	0.010010	0.025489	0.994823
4.147798	14.482991	0.015014	0.025104	1.004278
5.856075	20.516235	0.020019	0.024782	1.013971
7.374023	26.620381	0.025024	0.024496	1.023573
8.443836	32.778998	0.030029	0.024294	1.032926
9.353815	38.909963	0.035034	0.024121	1.042074
9.891029	45.034089	0.040038	0.024019	1.050939
10.715073	51.067407	0.045043	0.023863	1.059751
11.038402	57.195132	0.050048	0.023801	1.068366
11.656938	63.208473	0.055053	0.023683	1.076904
12.083239	69.298769	0.060058	0.023602	1.085383
12.571954	75.314914	0.065062	0.023508	1.093728
12.819943	81.412955	0.070067	0.023460	1.102000
13.174261	87.451501	0.075072	0.023392	1.110184
13.552424	93.466656	0.080077	0.023320	1.118288
14.039160	99.495292	0.085082	0.023227	1.126404
14.216801	105.593007	0.090086	0.023192	1.134403
14.670700	111.603205	0.095091	0.023106	1.142365
14.714302	117.688876	0.100096	0.023096	1.150175
15.139728	123.673668	0.105101	0.023015	1.157982
15.494925	129.706682	0.110106	0.022947	1.165765
15.814818	135.759086	0.115110	0.022885	1.173504
16.223942	141.765614	0.120115	0.022807	1.181177
16.546723	147.825561	0.125120	0.022745	1.188826
16.803978	153.866177	0.130125	0.022695	1.196373
17.320622	159.866451	0.135130	0.022596	1.203940
17.597243	165.927930	0.140134	0.022543	1.211426
18.182731	171.915789	0.145139	0.022432	1.218914
18.366176	178.018169	0.150144	0.022396	1.226317
18.568937	184.051937	0.155149	0.022356	1.233603
18.902826	190.057557	0.160154	0.022292	1.240869
19.282616	196.080458	0.165158	0.022219	1.248132
19.628859	202.101463	0.170163	0.022153	1.255337
19.893183	208.163597	0.175168	0.022102	1.262513
20.110689	214.193762	0.180173	0.022060	1.269593
20.459426	220.205923	0.185178	0.021993	1.276667
20.777246	226.233592	0.190182	0.021931	1.283707
21.195350	232.261454	0.195187	0.021852	1.290750
21.571398	238.263244	0.200192	0.021779	1.297708
21.830106	244.394991	0.205197	0.021729	1.304727
22.021381	250.385058	0.210202	0.021692	1.311522
22.226756	256.397614	0.215206	0.021652	1.318313
22.603571	262.380171	0.220211	0.021580	1.325105
23.063656	268.401904	0.225216	0.021492	1.331939
23.267830	274.458046	0.230221	0.021452	1.338673
23.690214	280.462928	0.235226	0.021371	1.345404
23.929931	286.505509	0.240230	0.021325	1.352071
24.376479	292.511448	0.245235	0.021240	1.358746
24.610098	298.555166	0.250240	0.021194	1.365345
24.887514	304.595568	0.255245	0.021141	1.371927
25.064032	310.618060	0.260250	0.021106	1.378419
25.432031	316.632779	0.265254	0.021036	1.384946
25.676726	322.646181	0.270259	0.020988	1.391393
26.147229	328.652787	0.275264	0.020898	1.397890
26.333411	334.710503	0.280269	0.020862	1.404302
26.716194	340.711640	0.285274	0.020789	1.410700
26.874907	346.771184	0.290278	0.020757	1.417045
27.310996	352.743596	0.295283	0.020674	1.423376
27.452829	358.809141	0.300288	0.020646	1.429665
27.729857	364.818113	0.305293	0.020593	1.435918
27.978979	370.835808	0.310298	0.020544	1.442143
28.248123	376.880347	0.315302	0.020492	1.448376
28.407537	382.900716	0.320307	0.020461	1.454518
28.909857	388.881119	0.325312	0.020365	1.460717
28.938294	394.943307	0.330317	0.020358	1.466802
29.195017	400.963553	0.335322	0.020309	1.472901
29.274565	406.996271	0.340326	0.020292	1.478924
29.577733	412.986058	0.345331	0.020234	1.484960
29.887658	418.987407	0.350336	0.020174	1.490985
30.241099	425.020616	0.355341	0.020106	1.497032
30.407390	431.070833	0.360346	0.020074	1.503006
30.789399	437.057476	0.365350	0.020001	1.508969
31.113109	443.058594	0.370355	0.019938	1.514903
31.454998	449.109040	0.375360	0.019873	1.520867
31.478007	455.158140	0.380365	0.019867	1.526697
31.817362	461.148171	0.385370	0.019802	1.532557
32.122418	467.170724	0.390374	0.019743	1.538413
32.330908	473.191635	0.395379	0.019702	1.544213
32.549113	479.209311	0.400384	0.019660	1.549991
32.996701	485.194851	0.405389	0.019574	1.555795
33.158443	491.264382	0.410394	0.019543	1.561560
33.319766	497.286877	0.415398	0.019511	1.567259
33.512988	503.283861	0.420403	0.019473	1.572925
33.861994	509.294617	0.425408	0.019406	1.578635
34.076253	515.322469	0.430413	0.019364	1.584295
34.307280	521.350864	0.435418	0.019320	1.589941
34.459875	527.367699	0.440422	0.019290	1.595531
34.868895	533.354985	0.445427	0.019211	1.601158
34.778181	539.445896	0.450432	0.019227	1.606697
35.252655	545.398696	0.455437	0.019136	1.612274
35.352957	551.439433	0.460442	0.019116	1.617792
35.601238	557.473772	0.465446	0.019068	1.623332
35.777706	563.465512	0.470451	0.019033	1.628792
36.180580	569.475185	0.475456	0.018956	1.634321
36.328383	575.498797	0.480461	0.018927	1.639764
36.748220	581.488708	0.485466	0.018847	1.645245
37.043396	587.516034	0.490470	0.018790	1.650701
37.362811	593.546529	0.495475	0.018728	1.656149
37.445410	599.576738	0.500480	0.018711	1.661506
37.733477	605.584123	0.505485	0.018656	1.666888
38.128092	611.567775	0.510490	0.018580	1.672266
38.312968	617.639773	0.515494	0.018544	1.677639
38.441742	623.632930	0.520499	0.018519	1.682909
38.789161	629.649197	0.525504	0.018452	1.688249
38.935774	635.658619	0.530509	0.018423	1.693505
39.329378	641.684344	0.535514	0.018347	1.698834
39.344079	647.724170	0.540518	0.018343	1.704044
39.736223	653.703924	0.545523	0.018268	1.709300
39.948054	659.700348	0.550528	0.018227	1.714500
40.343948	665.734252	0.555533	0.018151	1.719771
40.446972	671.766470	0.560538	0.018130	1.724937
40.988981	677.733414	0.565542	0.018027	1.730163
41.214239	683.774693	0.570547	0.017983	1.735342
41.593122	689.800667	0.575552	0.017911	1.740538
41.574954	695.846923	0.580557	0.017913	1.745619
41.910307	701.822096	0.585562	0.017848	1.750729
42.074260	707.865325	0.590566	0.017816	1.755830
42.407938	713.853810	0.595571	0.017752	1.760921
42.654034	719.869020	0.600576	0.017704	1.765994
