Number of Data Points = 63
         
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
maptriplepoint_00000 LC.hys	103.219383	5997.491192	76.722478	486665.267370	1189.334197	161.847813	97.441121	12.323647	13.918238	59.415720	1.310355	-102.326900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	138.972940	5997.455920	180.659898	786908.828862	1189.334197	163.871061	180.440649	7.621538	0.002521	59.092592	3.156216	-102.324900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	131.481429	5997.452927	183.093178	717109.938719	1189.334197	156.048646	191.564098	8.363366	0.192755	78.225207	2.375832	-102.322900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	150.294998	5997.406955	173.014648	900118.087340	1189.334197	176.293116	161.572691	6.662911	2.507488	111.613099	1.865905	-102.320900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	184.490011	5997.413594	118.098504	1302850.068542	1189.334197	222.577370	91.671008	4.603303	1.362015	128.756556	1.847479	-102.318900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	179.239604	5997.487899	109.717382	1234821.734654	1189.334197	220.236899	87.479870	4.856967	2.689731	127.254689	1.701006	-102.316900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	188.967968	5997.400498	114.055849	1362697.492505	1189.334197	228.405230	86.567059	4.401124	0.108655	108.467992	2.280912	-102.314900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	203.030316	5997.480087	104.243132	1561718.295738	1189.334197	246.180497	73.906210	3.840309	1.620436	144.007795	1.775880	-102.312900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	264.793100	5997.437812	106.254906	2639943.552089	1189.334197	307.126001	57.941068	2.271805	0.125683	181.348338	2.228367	-102.310900	-8.650300	0.000000
maptriplepoint_00000 LC.hys	119.493966	5997.496355	85.659776	613361.499450	1189.334197	172.005454	96.906634	9.778078	4.374390	63.992504	1.542705	-102.326900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	130.211012	5997.439029	153.700376	705661.392220	1189.334197	159.476257	162.110662	8.499032	2.269549	87.563261	1.842962	-102.324900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	131.460715	5997.493241	149.564112	716922.377206	1189.334197	161.535576	156.504258	8.365610	21.176191	105.338115	1.401439	-102.322900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	164.388172	5997.491856	135.023192	1054709.019425	1189.334197	197.701848	116.486842	5.686395	7.263761	127.525262	1.579905	-102.320900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	178.795197	5997.495152	105.672093	1229169.154197	1189.334197	221.361983	84.447988	4.879308	11.567941	140.580480	1.423319	-102.318900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	167.231800	5997.484610	100.765657	1087806.209171	1189.334197	211.871151	85.599574	5.513376	13.693319	129.749921	1.379745	-102.316900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	185.677276	5997.513090	102.424951	1318553.210276	1189.334197	229.593673	79.029960	4.548556	5.332898	138.435091	1.556797	-102.314900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	211.475544	5997.503448	100.523494	1689414.449729	1189.334197	256.222572	68.522674	3.550049	4.645857	162.168174	1.576435	-102.312900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	229.072806	5997.468806	89.290035	1975453.927928	1189.334197	279.449107	56.286516	3.035995	1.262142	160.457594	1.771540	-102.310900	-8.652300	0.000000
maptriplepoint_00000 LC.hys	159.136934	5997.440971	81.024126	995287.128937	1189.334197	214.652260	71.957321	6.025840	7.377295	108.358733	1.436002	-102.326900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	148.166018	5997.486887	160.413679	878100.310350	1189.334197	176.206738	151.671563	6.830070	5.503105	113.116635	1.687459	-102.324900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	143.546848	5997.410671	146.165822	831500.439928	1189.334197	174.320513	142.019971	7.212757	9.098354	110.288169	1.560563	-102.322900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	171.041793	5997.514413	119.321257	1133175.151472	1189.334197	208.739484	99.312549	5.292663	11.808481	135.748405	1.452166	-102.320900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	207.197831	5997.515164	101.319151	1623961.503569	1189.334197	251.593548	70.443107	3.693139	12.971903	169.245263	1.391153	-102.318900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	164.759743	5997.487419	100.344704	1058996.871303	1189.334197	209.586380	86.393674	5.663367	13.278880	126.845092	1.384355	-102.316900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	244.157639	5997.534817	100.956968	2242311.950930	1189.334197	288.712772	59.734208	2.674710	5.157435	196.110347	1.558784	-102.314900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	183.170981	5997.453380	98.035492	1285542.917578	1189.334197	229.053242	76.608132	4.665308	8.108717	139.206490	1.468652	-102.312900	-8.654300	0.000000
maptriplepoint_00000 LC.hys	258.143816	5997.483086	96.076295	2507698.760674	1189.334197	304.961945	53.754323	2.391628	1.973859	197.857369	1.715755	-102.310900	-8.654300	0.000000
