No of indents,Hardness (GPa),Reduced Young Modulus (GPa),Young Modulus (GPa),Stiffness (uN/nm)
0,12.595198902789,101.438846763058,101.276963377806,78.9970204759207
1,7.64914658774254,182.727917443051,197.838010134384,182.603447886923
2,8.44241503082823,186.960016561906,203.313678395503,177.83875669077
3,6.63628538198979,162.874449404464,172.780315043199,174.74351545972
4,4.58702532135745,91.0620679277672,90.0221244146996,117.512263055115
5,4.81794269499135,88.3257149987397,87.0910370189577,111.216092608551
6,4.42613197870431,85.5248158383432,84.1064812575344,112.354246926412
7,3.80851789924786,74.6178864418888,72.6331310892893,105.675812806855
8,2.29181606290428,56.2116448786695,53.7920008192495,102.623673585099
9,9.94925322897812,99.8676644720608,99.5584816357644,87.5062345265712
10,8.57547854827296,160.106040491814,169.366423292496,151.108545763457
11,8.21481659515987,162.090134381416,171.811177818711,156.303168013205
12,5.67671408112467,117.460194863847,119.10016299718,136.254757748935
13,4.82531755875162,86.4632769934201,85.1047194403825,108.787288279117
14,5.4223381618592,87.7885886112962,86.517466103735,104.197034467435
15,4.4904744081382,81.0325497814634,79.3524479747831,105.687507881063
16,3.50368404971436,70.3922115436944,68.2505680418717,103.93750004434
17,3.03669535265686,55.8295267422167,53.4075978253873,88.5471680842811
18,6.08368309614507,74.793739968851,72.8162632635896,83.8095105492749
19,6.80129178438824,151.987595038005,159.464770516078,161.073376900201
20,7.15591350786388,144.121332687983,150.023822611695,148.904411569513
21,5.24699988739515,101.323958276119,101.151128778121,122.254631048848
22,3.66174726810944,71.7362579002566,69.6407747898034,103.610855699849
23,5.58838045777613,88.3673340533126,87.1355042937534,103.314052067366
24,2.65369480049596,61.1007432907111,58.7342386586045,103.664552157925
25,4.56695107317222,79.009097222549,77.2241687709857,102.181985764335
26,2.3478971532592,56.2081434769984,53.788477256943,101.384295006947
27,5.90121973578358,72.7705402488246,70.7129504798731,82.7934413155005
28,5.41053698972883,119.803798774897,121.754017893816,142.351205019797
29,5.58630953552517,128.201756544196,131.364114988545,149.914603033186
30,5.18450355994795,85.4610355728764,84.0387025264352,103.734703885527
31,5.20152601407975,85.2282177444957,83.7913582569753,103.283093841593
32,5.4455162635189,85.8757127574085,84.4795222634135,101.709584841428
33,4.72834990909637,81.8761551384453,80.2421485460217,104.067367179861
34,4.01548768241966,73.621590042566,71.5967320582299,101.542879641424
35,3.34826342742811,69.6890226577122,67.5246125530042,105.26041227057
36,5.03574260637498,65.6744592164108,63.3981782655649,80.8864621505185
37,5.87944885273288,119.847573949273,121.803703483846,136.606187802349
38,5.21472246608676,113.43264063429,114.567584263513,137.288313880628
39,4.7488205512036,87.3087785449222,86.0055928132471,110.732408538326
40,4.9951858847495,80.6755896958791,78.9764077389487,99.76412614913
41,5.45299389382491,85.8804540900318,84.4845644993548,101.645718045283
42,5.03333364025674,84.5016261338755,83.020129613408,104.098914279181
43,4.02921509763904,73.8657003161351,71.8504899669316,101.705107331267
44,4.04890257822431,75.5568268218809,73.6116318831691,103.780736950854
45,5.21063882587496,66.0067834618438,63.7385980916547,79.9193066710574
46,6.07874433790454,119.043415228175,120.891645308381,133.447284746374
47,5.89225579728151,114.759830721103,116.057281266492,130.665196162776
48,5.11127942927401,87.5023240030328,86.212016051403,106.970733027488
49,5.60539654815708,86.8899224555834,85.5591260307483,101.432230353259
50,5.29740378218203,86.3309883106837,84.9638972921629,103.668236236364
51,3.81734143791931,73.3968993681626,71.3632633660718,103.826687771503
52,4.87830304434205,82.0360058912627,80.4108927164076,102.655357597629
53,1.98891899506989,63.7261625804244,61.4066272359688,124.887818936654
54,1.68028555758086,61.0723027979557,58.7053601982211,130.216344525975
55,4.98999102243115,107.312253509106,107.747066355725,132.772660233152
56,3.7768279246672,91.808475879556,90.8242933957931,130.565907902932
57,5.71301877103462,90.9992726782357,89.9546897758002,105.223824906182
58,5.52299566673931,85.7021907817792,84.2950189479368,100.78922279448
59,5.15890138748953,83.1682523782533,81.6075861892823,101.20239467124
60,4.6758049836512,79.2078948301367,77.4329074832513,101.239559147802
61,4.06679874755645,71.0055581933215,68.8845483002372,97.3146661542567
62,3.20621842147725,77.2847006719255,75.4168012445778,119.291185344731
