Fri Jan 13 17:27:19 2023

Number of Points = 3000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-1.412225	1.287928	0.000000	-0.030971	1.136715
0.000000	4.834144	0.005005	-0.031237	1.141910
1.463389	9.591580	0.010010	-0.031513	1.148641
2.860897	15.376370	0.015014	-0.031776	1.156597
4.154733	21.413249	0.020019	-0.032021	1.164765
4.958577	27.535668	0.025024	-0.032173	1.172759
6.093455	33.521534	0.030029	-0.032387	1.180679
6.781119	39.622769	0.035034	-0.032518	1.188487
7.753501	45.647913	0.040038	-0.032702	1.196278
8.473574	51.706825	0.045043	-0.032838	1.203948
9.251745	57.730833	0.050048	-0.032986	1.211552
9.996096	63.782741	0.055053	-0.033127	1.219127
10.867388	69.797944	0.060058	-0.033292	1.226666
11.484365	75.859806	0.065062	-0.033409	1.234105
12.276152	81.879565	0.070067	-0.033559	1.241524
12.859643	87.942757	0.075072	-0.033670	1.248861
13.413942	93.983789	0.080077	-0.033776	1.256117
13.905143	100.036689	0.085082	-0.033870	1.263318
14.558651	106.036192	0.090086	-0.033994	1.270484
15.043901	112.067054	0.095091	-0.034086	1.277576
15.758771	118.089823	0.100096	-0.034222	1.284714
16.189004	124.145983	0.105101	-0.034304	1.291734
16.812356	130.164506	0.110106	-0.034423	1.298752
17.074058	136.302272	0.115110	-0.034473	1.305718
17.737133	142.212521	0.120115	-0.034599	1.312557
18.169420	148.268883	0.125120	-0.034682	1.319428
18.934038	154.230417	0.130125	-0.034827	1.326293
19.319846	160.332813	0.135130	-0.034900	1.333125
19.885571	166.334385	0.140134	-0.035008	1.339884
20.267118	172.365199	0.145139	-0.035081	1.346568
20.963782	178.344861	0.150144	-0.035213	1.353286
21.816217	184.357116	0.155149	-0.035375	1.360067
22.350721	190.416377	0.160154	-0.035477	1.366741
22.705101	196.496779	0.165158	-0.035545	1.373336
23.142902	202.521202	0.170163	-0.035628	1.379872
23.517233	208.524314	0.175168	-0.035700	1.386330
24.213747	214.509244	0.180173	-0.035832	1.392861
24.479321	220.608548	0.185178	-0.035884	1.399319
25.034973	226.570171	0.190182	-0.035989	1.405712
25.443852	232.614106	0.195187	-0.036067	1.412107
25.991652	238.645747	0.200192	-0.036172	1.418511
26.425325	244.655964	0.205197	-0.036255	1.424823
27.120490	250.638293	0.210202	-0.036387	1.431174
27.537150	256.706351	0.215206	-0.036466	1.437482
28.060898	262.710822	0.220211	-0.036566	1.443737
28.311995	268.778588	0.225216	-0.036615	1.449930
28.910447	274.753601	0.230221	-0.036728	1.456129
29.511255	280.755159	0.235226	-0.036843	1.462328
30.051120	286.810281	0.240230	-0.036945	1.468533
30.326402	292.842655	0.245235	-0.036999	1.474595
30.790124	298.875913	0.250240	-0.037087	1.480699
31.206964	304.866584	0.255245	-0.037167	1.486720
31.685074	310.900849	0.260250	-0.037258	1.492781
31.899278	316.960772	0.265254	-0.037300	1.498750
32.439353	322.925690	0.270259	-0.037402	1.504716
32.811803	328.955706	0.275264	-0.037474	1.510664
33.394362	334.966312	0.280269	-0.037585	1.516641
33.780365	341.009305	0.285274	-0.037659	1.522559
34.256870	347.019019	0.290278	-0.037749	1.528452
34.702426	353.017575	0.295283	-0.037835	1.534302
35.317559	359.058836	0.300288	-0.037951	1.540227
35.579766	365.080170	0.305293	-0.038002	1.545992
35.979909	371.115132	0.310298	-0.038079	1.551794
36.607553	377.062729	0.315302	-0.038198	1.557569
36.991300	383.160256	0.320307	-0.038272	1.563381
37.304707	389.172523	0.325312	-0.038332	1.569069
37.848872	395.161363	0.330317	-0.038435	1.574790
38.089467	401.207971	0.335322	-0.038482	1.580445
38.520126	407.217617	0.340326	-0.038564	1.586107
38.921926	413.218725	0.345331	-0.038641	1.591732
39.262798	419.271457	0.350336	-0.038707	1.597364
39.579323	425.274950	0.355341	-0.038768	1.602923
39.922203	431.303720	0.360346	-0.038833	1.608495
40.256586	437.298764	0.365350	-0.038898	1.614014
40.618950	443.367494	0.370355	-0.038967	1.619590
40.836234	449.349125	0.375360	-0.039009	1.625022
41.430987	455.319866	0.380365	-0.039122	1.630546
41.815120	461.381407	0.385370	-0.039196	1.636065
42.454935	467.334774	0.390374	-0.039318	1.641550
43.076962	473.362896	0.395379	-0.039436	1.647077
43.607330	479.414192	0.400384	-0.039537	1.652577
43.878004	485.451183	0.405389	-0.039589	1.657966
44.344022	491.458014	0.410394	-0.039678	1.663371
44.507658	497.501253	0.415398	-0.039710	1.668697
44.968058	503.490377	0.420403	-0.039798	1.674050
45.134837	509.525266	0.425408	-0.039831	1.679336
45.431124	515.538008	0.430413	-0.039888	1.684625
45.815702	521.548161	0.435418	-0.039962	1.689922
46.183079	527.570889	0.440422	-0.040032	1.695209
46.425556	533.600071	0.445427	-0.040079	1.700446
46.934656	539.574316	0.450432	-0.040176	1.705701
47.259793	545.603175	0.455437	-0.040239	1.710931
47.703132	551.616858	0.460442	-0.040323	1.716167
47.805384	557.672648	0.465446	-0.040344	1.721322
48.296259	563.657395	0.470451	-0.040437	1.726516
48.519165	569.683756	0.475456	-0.040481	1.731650
49.046223	575.672443	0.480461	-0.040581	1.736827
49.412664	581.675419	0.485466	-0.040651	1.741953
50.094635	587.697324	0.490470	-0.040781	1.747173
50.402908	593.719308	0.495475	-0.040840	1.752267
50.842546	599.760108	0.500480	-0.040924	1.757401
50.991390	605.783083	0.505485	-0.040954	1.762420
51.466576	611.767622	0.510490	-0.041044	1.767488
51.832862	617.779798	0.515494	-0.041114	1.772533
52.287455	623.825603	0.520499	-0.041201	1.777616
52.467811	629.825566	0.525504	-0.041237	1.782568
52.710638	635.865688	0.530509	-0.041284	1.787557
52.942925	641.845874	0.535514	-0.041329	1.792481
53.332342	647.892449	0.540518	-0.041403	1.797490
53.471652	653.899473	0.545523	-0.041431	1.802381
53.936291	659.878022	0.550528	-0.041520	1.807328
54.056751	665.936164	0.555533	-0.041544	1.812229
54.416657	671.946596	0.560538	-0.041613	1.817146
54.642590	677.924469	0.565542	-0.041657	1.821986
55.043537	683.960658	0.570547	-0.041733	1.826907
55.148240	689.981996	0.575552	-0.041754	1.831722
55.715947	695.968808	0.580557	-0.041862	1.836625
56.040727	702.001383	0.585562	-0.041925	1.841483
56.331500	708.016547	0.590566	-0.041981	1.846306
56.525511	714.031585	0.595571	-0.042019	1.851089
56.921340	720.046041	0.600576	-0.042095	1.855915
57.140541	726.062126	0.605581	-0.042137	1.860681
57.554540	732.058675	0.610586	-0.042216	1.865473
57.850740	738.058648	0.615590	-0.042273	1.870223
58.288453	744.090747	0.620595	-0.042357	1.875024
58.519040	750.127151	0.625600	-0.042402	1.879761
58.704073	756.129706	0.630605	-0.042438	1.884447
59.074527	762.125345	0.635610	-0.042509	1.889165
59.403832	768.157390	0.640614	-0.042572	1.893889
59.706699	774.148813	0.645619	-0.042631	1.898563
60.051494	780.183356	0.650624	-0.042697	1.903269
60.348069	786.175565	0.655629	-0.042754	1.907919
60.669972	792.201710	0.660634	-0.042816	1.912589
60.948662	798.212819	0.665638	-0.042870	1.917226
61.218313	804.237184	0.670643	-0.042922	1.921859
61.474951	810.232698	0.675648	-0.042971	1.926455
61.826644	816.261030	0.680653	-0.043039	1.931090
61.998734	822.299709	0.685658	-0.043073	1.935675
62.444917	828.237755	0.690662	-0.043158	1.940245
62.568234	834.298055	0.695667	-0.043182	1.944812
62.981165	840.295777	0.700672	-0.043261	1.949396
63.390076	846.286184	0.705677	-0.043340	1.953962
63.684638	852.345577	0.710682	-0.043396	1.958540
63.723674	858.384708	0.715686	-0.043405	1.963027
64.079395	864.354572	0.720691	-0.043473	1.967533
64.083453	870.382741	0.725696	-0.043476	1.971982
64.519669	876.367109	0.730701	-0.043559	1.976499
64.598093	882.404281	0.735706	-0.043575	1.980953
65.152210	888.386732	0.740710	-0.043681	1.985477
65.275821	894.420876	0.745715	-0.043705	1.989921
65.707697	900.404698	0.750720	-0.043788	1.994395
65.952637	906.438818	0.755725	-0.043835	1.998849
66.348144	912.461114	0.760730	-0.043911	2.003322
66.667040	918.461008	0.765734	-0.043972	2.007749
66.866439	924.490544	0.770739	-0.044011	2.012159
67.047684	930.507249	0.775744	-0.044047	2.016545
67.385319	936.491151	0.780749	-0.044112	2.020936
67.575071	942.522447	0.785754	-0.044149	2.025316
67.885681	948.517429	0.790758	-0.044208	2.029689
68.098097	954.552435	0.795763	-0.044250	2.034058
68.274770	960.565992	0.800768	-0.044284	2.038393
68.797084	966.495902	0.805773	-0.044384	2.042744
69.282096	972.579254	0.810778	-0.044476	2.047185
69.416612	978.584484	0.815782	-0.044503	2.051476
69.882964	984.585213	0.820787	-0.044592	2.055835
70.128620	990.608821	0.825792	-0.044640	2.060148
70.246218	996.648981	0.830797	-0.044663	2.064433
70.539500	1002.615162	0.835802	-0.044720	2.068699
70.728343	1008.665100	0.840806	-0.044757	2.072990
71.000357	1014.652647	0.845811	-0.044809	2.077248
71.279872	1020.668321	0.850816	-0.044863	2.081519
71.409234	1026.698111	0.855821	-0.044889	2.085755
71.724450	1032.689564	0.860826	-0.044950	2.090000
71.910631	1038.708723	0.865830	-0.044986	2.094225
72.294131	1044.708036	0.870835	-0.045060	2.098474
72.368645	1050.733141	0.875840	-0.045075	2.102660
72.803110	1056.724892	0.880845	-0.045158	2.106898
73.079801	1062.733359	0.885850	-0.045211	2.111103
73.372959	1068.753283	0.890854	-0.045268	2.115311
73.481588	1074.793493	0.895859	-0.045290	2.119482
73.767070	1080.779301	0.900864	-0.045345	2.123648
74.027602	1086.779865	0.905869	-0.045395	2.127810
74.289218	1092.824820	0.910874	-0.045446	2.131995
74.476283	1098.824245	0.915878	-0.045482	2.136123
74.765982	1104.806113	0.920883	-0.045538	2.140255
74.805534	1110.867151	0.925888	-0.045547	2.144375
75.119623	1116.845948	0.930893	-0.045608	2.148494
75.174879	1122.866859	0.935898	-0.045619	2.152575
75.430509	1128.897560	0.940902	-0.045669	2.156700
75.576922	1134.871210	0.945907	-0.045698	2.160755
75.913101	1140.894459	0.950912	-0.045762	2.164877
75.963191	1146.909934	0.955917	-0.045773	2.168923
76.402205	1152.901420	0.960922	-0.045857	2.173032
76.604920	1158.940333	0.965926	-0.045897	2.177111
76.890093	1164.943626	0.970931	-0.045952	2.181178
76.909034	1170.962316	0.975936	-0.045957	2.185188
77.405420	1176.917729	0.980941	-0.046051	2.189255
77.508526	1182.986656	0.985946	-0.046072	2.193303
77.860986	1188.985432	0.990950	-0.046140	2.197351
77.985313	1194.989502	0.995955	-0.046165	2.201345
78.303437	1201.002716	1.000960	-0.046226	2.205381
78.481710	1207.005220	1.005965	-0.046261	2.209371
78.816776	1213.025260	1.010970	-0.046325	2.213401
78.942405	1219.047765	1.015974	-0.046350	2.217378
79.177971	1225.054240	1.020979	-0.046396	2.221362
79.604807	1231.014990	1.025984	-0.046477	2.225350
79.770058	1237.074896	1.030989	-0.046510	2.229339
79.848147	1243.090440	1.035994	-0.046526	2.233273
80.145094	1249.096053	1.040998	-0.046583	2.237241
80.240912	1255.112243	1.046003	-0.046603	2.241166
80.601106	1261.101371	1.051008	-0.046672	2.245123
80.641142	1267.110661	1.056013	-0.046681	2.249017
81.049004	1273.128481	1.061018	-0.046759	2.252989
81.154634	1279.175184	1.066022	-0.046780	2.256907
81.333979	1285.153562	1.071027	-0.046815	2.260791
81.556738	1291.152765	1.076032	-0.046859	2.264690
81.862678	1297.159730	1.081037	-0.046917	2.268606
82.124322	1303.164714	1.086042	-0.046968	2.272504
82.467419	1309.206034	1.091046	-0.047034	2.276435
82.564309	1315.197698	1.096051	-0.047054	2.280277
82.859474	1321.193919	1.101056	-0.047110	2.284156
83.036590	1327.226701	1.106061	-0.047145	2.288027
83.539205	1333.209287	1.111066	-0.047241	2.291928
83.632951	1339.258986	1.116070	-0.047260	2.295779
83.979558	1345.241155	1.121075	-0.047327	2.299634
84.307723	1351.230115	1.126080	-0.047390	2.303483
84.541388	1357.278730	1.131085	-0.047435	2.307343
84.643661	1363.288976	1.136090	-0.047456	2.311146
84.919242	1369.292000	1.141094	-0.047509	2.314973
85.122223	1375.286566	1.146099	-0.047548	2.318774
85.333141	1381.334196	1.151104	-0.047589	2.322603
85.400718	1387.336785	1.156109	-0.047604	2.326368
85.645295	1393.331356	1.161114	-0.047651	2.330159
85.819195	1399.357939	1.166118	-0.047685	2.333949
86.249674	1405.316729	1.171123	-0.047767	2.337743
86.762387	1411.330458	1.176128	-0.047865	2.341581
87.093952	1417.383366	1.181133	-0.047929	2.345401
87.235604	1423.359952	1.186138	-0.047957	2.349129
87.608503	1429.394272	1.191142	-0.048028	2.352933
87.731941	1435.401875	1.196147	-0.048053	2.356664
87.930421	1441.438845	1.201152	-0.048092	2.360422
88.048287	1447.413749	1.206157	-0.048115	2.364120
88.254143	1453.436156	1.211162	-0.048155	2.367859
88.412717	1459.453690	1.216166	-0.048187	2.371579
88.594339	1465.459977	1.221171	-0.048222	2.375292
88.771395	1471.439216	1.226176	-0.048257	2.378981
89.102947	1477.462556	1.231181	-0.048321	2.382722
89.401528	1483.470528	1.236186	-0.048378	2.386441
89.787243	1489.485559	1.241190	-0.048452	2.390176
90.056926	1495.485491	1.246195	-0.048504	2.393873
90.253766	1501.524140	1.251200	-0.048543	2.397573
90.515668	1507.510769	1.256205	-0.048593	2.401249
90.828941	1513.535761	1.261210	-0.048653	2.404952
90.911811	1519.533407	1.266214	-0.048670	2.408588
91.140686	1525.566962	1.271219	-0.048715	2.412269
91.341681	1531.569158	1.276224	-0.048754	2.415920
91.353014	1537.580773	1.281229	-0.048758	2.419533
91.588161	1543.550102	1.286234	-0.048803	2.423160
92.009139	1549.577351	1.291238	-0.048884	2.426852
92.065149	1555.617421	1.296243	-0.048896	2.430475
92.230351	1561.616126	1.301248	-0.048928	2.434089
92.346290	1567.613170	1.306253	-0.048952	2.437688
